Posisi,Pemain,Klub,Gol
1,ARDANSYAH EFFENDI PUTRA,INDONESIA MUDA,25
2,RISTIANO KAVIN ANANTO PULA,PS. ANGKATAN LAUT,18
3,ANDRIS LEO FELLE,POLDA JATIM,15
4,MUHAMMAD ALVYN PUTERA PRAKASA,T.E.O,15
5,AMIR HANY TUASIKAL,EL FAZA,14
6,TONI FIRMANSYAH,PUTRA MARS,13
7,REYNALDI SURYA MALO PINDA,SEMUT HITAM,13
8,M. NOFEM ARIANSAH,PUTRA SURABAYA,12
9,FIRSTNO BRAMA PUTRA,PELINDO,11
10,MUHAMMAD RYAN SAVERO,H.B.S,9
11,MAHESA DWI RAMADHANI,PUTRA MARS,8
12,IQBAL MAULANA AHMAD,INDONESIA MUDA,8
13,MOCH BINTANG RADITYA,INDONESIA MUDA,8
14,AHMAD ARIFIANTO,PELINDO,7
15,RUDIANTO,H.B.S,7
16,ACHMAD BILAL,HAGGANA,6
17,ZILDJIAN,EL FAZA,6
18,ALIEFIAN ADIRAMA HAKIM,INDONESIA MUDA,6
19,DIAZ PERMANA RAKA S,PUTRA SURABAYA,6
20,ACHMAD NUR FATHONI,UNTAG ROSITA,6
