Posisi,Pemain,Klub,Gol
1,SARTUA DWIPA NUSANTARA,UNTAG ROSITA,14
2,"IVANDER ""KAKA"" ASHARI",INDONESIA MUDA,14
3,AHMAD RAZA PRAWIRA,FARFAZA FC,11
4,MOCH DIRGA DWI PRASETYO,FATAHILLAH 354,11
5,MUHAMMAD ROBETH FU’ADY,HAGGANA,8
6,MOCH RIZAL SAPUTRA,BINTANG TIMUR,8
7,MUHAMMAD RAFI AL AZRIL,MAESA,8
8,FANDI AKHMAD ANDRIYONO,UNTAG ROSITA,8
9,MUHAMMAD KHADAFI ABRIANSYAH,PUTRA MARS,7
10,MUHAMMAD HARIS AL - FIKRI,UNTAG ROSITA,7
11,MOCH GOLDY RICHY DYWANGGA,H.B.S,7
12,MUHAMMAD ABDIL JANITRA,PS ANGKATAN LAUT,6
13,Paulinus Apli Kapi,PELINDO,6
14,HANIF FATUR ROHMAN,PS ANGKATAN LAUT,6
15,MUHAMMAD MUHSIN HALIM,MAESA,6
16,DAFFA LIGA SAPUTRA,FATAHILLAH 354,6
17,MUHAMMAD AFFANDA ARDIYANSYAH,FATAHILLAH 354,6
18,M. ANGGI HARDIAN SYAHPUTRA,PS. BINTANG ANGKASA,6
19,ACHMAD ADITYA FADHOLLI ROCHIM,FATAHILLAH 354,6
20,AHMAD MUJTABA ILHAM AKBAR,PS ANGKATAN LAUT,5
